Society,City/Site,Region,Polity,Year,Latitude,Longitude,Income Gini,Wealth Gini,Sources
,"Santa Úrsula, Mexico",,,1492,19.39,-98.16,0.45,,https://doi.org/10.1038/s41562-023-01636-3 
,"Teolocholco, Mexico",,,1492,19.24,-98.19,0.45,,https://doi.org/10.1038/s41562-023-01636-3 
,"Tepeticpac, Mexico",,,1492,19.34,-98.23,0.55,,https://doi.org/10.1038/s41562-023-01636-3 
,"Tepeyanco, Mexico",,,1492,19.24,-98.23,0.55,,https://doi.org/10.1038/s41562-023-01636-3 
,"Tizatlan, Mexico",,,1492,19.33,-98.22,0.65,,https://doi.org/10.1038/s41562-023-01636-3 
,,Warwickshire,,1720,52.33,-1.58,,0.78,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Yorkshire,,1725,54,-1.5,,0.78,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Hebei,,1738.5,38.93,115.7,,0.6,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,Northern Spain,1749,41.39,4.43,,0.78,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,Sweden,1750,59.2,18.5,,0.72,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Central Italy,,1750,42.8,12.5,,0.75,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Northwest Italy,,1750,45.4,8.5,,0.77,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Warwickshire,,1750,52.33,-1.58,,0.71,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Leicestershire,,1757,52.67,-1.17,,0.61,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Buckinghamshire,,1760,51.83,-0.83,,0.76,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Nottinghamshire,,1760,53.17,-1,,0.68,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Yorkshire,,1760,54,-1.5,,0.81,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Warwickshire,,1770,52.33,-1.58,,0.72,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Westmorland,,1770,54.47,-2.6,,0.48,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Buckinghamshire,,1780,51.83,-0.83,,0.73,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Nottinghamshire,,1780,53.17,-1,,0.74,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Yorkshire,,1780,54,-1.5,,0.76,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,Denmark,1789,55.4,12.34,,0.87,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Warwickshire,,1790,52.33,-1.58,,0.71,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,China,1800,39.88,116.4,,0.655,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,Finland,1800,60.21,24.94,,0.87,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,Japan,1800,35.69,139.75,,0.53,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Buckinghamshire,,1800,51.83,-0.83,,0.81,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Chubutosan,,1800,36,138,,0.61,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Chugoku,,1800,35.05,132.5,,0.53,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Hokuriku,,1800,37.25,137.17,,0.64,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Kanto,,1800,36,140,,0.49,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Kinki,,1800,35,135.5,,0.63,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Kyushu,,1800,33,131,,0.44,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Nottinghamshire,,1800,53.17,-1,,0.74,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Shikoku,,1800,33.75,133.5,,0.35,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Tohoku,,1800,39.7,141,,0.44,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Tokai,,1800,35,137.67,,0.49,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Westmorland,,1800,54.47,-2.6,,0.51,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Yorkshire,,1800,54,-1.5,,0.81,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,,England,1803,51.3,-0.17,,0.93,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Cumbria,,1805,54.5,-3,,0.63,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Warwickshire,,1815,52.33,-1.58,,0.75,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Nottinghamshire,,1820,53.17,-1,,0.73,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Yorkshire,,1820,54,-1.5,,0.78,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Nottinghamshire,,1840,53.17,-1,,0.75,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Yorkshire,,1840,54,-1.5,,0.8,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,,Hebei,,1930,38.93,115.7,,0.72,https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf
,Barcelona,,,1375,41.38,2.17,0.61,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Castellón,,,1375,39.99,-0.05,0.58,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Mallorca,,,1375,39.69,3.02,0.67,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Sevilla,,,1375,37.39,-5.98,0.72,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Sevilla,,,1375,37.39,-5.98,0.65,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Valencia,,,1375,39.47,-0.38,0.6,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Valls,,,1375,41.29,1.25,0.63,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Castellón,,,1450,39.99,-0.05,0.53,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Castellón,,,1500,39.99,-0.05,0.49,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,Castellón,,,1600,39.99,-0.05,0.61,,https://library.oapen.org/viewer/web/viewer.html?file=/bitstream/handle/20.500.12657/56037/14215.pdf?sequence=1&isAllowed=y
,,,Abbasid Caliphate,600,33.31,44.36,,0.27018,https://media.proquest.com/media/hms/ORIG/2/BU21H?_s=VRruhYmPmxnIuyRFqaoZVISHYR4%3D
,Humayma,,,600,29.95,35.35,,0.34537,https://media.proquest.com/media/hms/ORIG/2/BU21H?_s=VRruhYmPmxnIuyRFqaoZVISHYR4%3D
,Nahal Mitnan,,,600,30.63,34.48,,0.13333,https://media.proquest.com/media/hms/ORIG/2/BU21H?_s=VRruhYmPmxnIuyRFqaoZVISHYR4%3D
,Tall Jawa,,,600,31.84,35.91,,0.24198,https://media.proquest.com/media/hms/ORIG/2/BU21H?_s=VRruhYmPmxnIuyRFqaoZVISHYR4%3D
,Ctesiphon,,,620,33.09,44.58,,0.22169,https://media.proquest.com/media/hms/ORIG/2/BU21H?_s=VRruhYmPmxnIuyRFqaoZVISHYR4%3D
,Hajiabad,,,620,28.31,54.42,,0.32715,https://media.proquest.com/media/hms/ORIG/2/BU21H?_s=VRruhYmPmxnIuyRFqaoZVISHYR4%3D
,San Jose Mogote,,,-1100,17.17,-96.81,0.25,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Uxbenká,,,250,16.23,-88.98,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Chunchucmil,,,400,20.64,-90.19,0.34,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Ix Kuku’il,,,400,16.2,-88.93,0.4,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Teotihuacan,,,400,19.69,-98.84,0.41,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,El Palmillo,,,500,16.85,-96.34,0.39,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Mitla Fortress,,,500,16.92,-96.31,0.36,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Monte Alban,,,500,17.04,-96.77,0.41,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Valley of Oaxaca sites,,,500,17.05,-96.72,0.38,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Caracol,,,600,16.76,-89.12,0.34,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Palenque,,,600,17.48,-92.05,0.44,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Uxul,,,600,17.86,-89.98,0.62,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Tikal,,,765,17.22,-89.62,0.62,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Mayapan,,,1200,20.63,-89.46,0.41,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Capilco,,,1480,18.84,-99.04,0.16,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Cuexcomate,,,1480,18.81,-99.05,0.25,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Yautepec,,,1480,18.88,-99.07,0.21,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,Tenochtitlan,,,1500,19.43,-99.13,0.3,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990175/
,,East Anglia,,1540,52.63,1.3,,0.642,https://pubmed.ncbi.nlm.nih.gov/19900925/
Yomut (Charwa),,,,1965,38,55,,0.564,https://pubmed.ncbi.nlm.nih.gov/19900925/
Yomut (Chomur),,,,1965,36.9,54.07,,0.528,https://pubmed.ncbi.nlm.nih.gov/19900925/
Ju/'hoansi,,,,1973,-19.6,20.5,,0.208,https://pubmed.ncbi.nlm.nih.gov/19900925/
Kipsigis,,,,1981,-0.37,35.28,,0.3115,https://pubmed.ncbi.nlm.nih.gov/19900925/
Ache,,,,1982,-24.3,-55.8,,0.295,https://pubmed.ncbi.nlm.nih.gov/19900925/
Hadza,,,,1982,-3.83,35,,0.10266,https://pubmed.ncbi.nlm.nih.gov/19900925/
Datoga,,,,1987,-4.3,35.03,,0.344,https://pubmed.ncbi.nlm.nih.gov/19900925/
Pimbwe,,,,1995,-6.34,31.07,,0.103,https://pubmed.ncbi.nlm.nih.gov/19900925/
Sangu,,,,1997,-8.75,34.25,,0.957,https://pubmed.ncbi.nlm.nih.gov/19900925/
Meriam,,,,1998,-9.92,144.05,,0.088,https://pubmed.ncbi.nlm.nih.gov/19900925/
Tsimane,,,,2002,-14.86,-66.75,,0.186125,https://pubmed.ncbi.nlm.nih.gov/19900925/
Juhaina Arabs,,,,2003,24.09,38.06,,0.535,https://pubmed.ncbi.nlm.nih.gov/19900925/
Lamalera,,,,2006,-8.55,123.51,,0.168,https://pubmed.ncbi.nlm.nih.gov/19900925/
,,,Roman Empire,14,41.9,12.5,0.378,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Byzantium,1000,41.01,28.98,0.411,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,England and Wales,1290,51.51,-0.13,0.393,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Tuscany,1427,43.77,11.26,0.407,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,South Serbia,1455,43.32,21.89,0.205,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Holland,1561,52.37,4.9,0.56,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Levant,1596,33.51,36.29,0.419,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Holland,1732,52.37,4.9,0.61,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Moghul India,1750,28.61,77.21,0.438,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Old Castille,1752,42.34,-3.7,0.525,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,England & Wales,1759,51.51,-0.13,0.459,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,France,1788,48.86,2.35,0.55,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Nueva España,1790,19.43,-99.13,0.635,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,England & Wales,1801,51.51,-0.13,0.512,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Bihar (India),1807,25.59,85.14,0.331,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Netherlands,1808,52.37,4.9,0.565,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Naples,1811,40.85,14.27,0.285,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Chile,1861,-33.45,-70.67,0.636,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Brazil,1872,-15.79,-47.88,0.432,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Peru,1876,-12.04,-77.03,0.477,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,China,1880,39.9,116.41,0.234,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Java,1880,-6.2,106.82,0.394,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Japan,1886,35.68,139.76,0.397,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Java,1924,-6.2,106.82,0.325,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,Siam,1929,13.76,100.52,0.466,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,British India,1947,28.61,77.21,0.487,,https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf
,,,England & Wales,1688,51.51,-0.13,0.47,0.94,"https://scholar.harvard.edu/files/jwilliamson/files/ancient_inequality_june-2008.pdf , https://ies.keio.ac.jp/upload/20190712appliedpaper.pdf"
,Cayonu,,,-9850,38.23,40.24,,0.14,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Gilgal,,,-9250,32,35.46,,0.15,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Cayonu,,,-8585,38.23,40.24,,0.09,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Asikli Hoyuk,,,-7750,38.35,34.23,,0.25,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Nahal Oren,,,-7750,32.71,34.98,,0.24,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Canhasan,,,-7125,37.2,33.25,,0.21,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Cayonu,,,-6850,38.23,40.24,,0.15,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Bouqras,,,-6800,35.03,40.35,,0.17,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6650,37.67,32.83,,0.11,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Cayonu,,,-6650,38.23,40.24,,0.42,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6550,37.67,32.83,,0.24,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6475,37.67,32.83,,0.32,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6425,37.67,32.83,,0.31,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6350,37.67,32.83,,0.35,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Cayonu,,,-6350,38.23,40.24,,0.39,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6250,37.67,32.83,,0.24,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Catalhoyuk,,,-6150,37.67,32.83,,0.3,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Beidha,,,-5750,30.38,35.45,,0.14,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell es-Sawwan,,,-5292,34.1,43.88,,0.09,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Khirokitia,,,-5150,34.8,33.34,,0.23,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tepe Gawra,,,-4400,36.48,43.26,,0.36,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Gabuba Kabira,,,-3500,36.14,38.12,,0.35,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Sidon-Dakerman,,,-3300,33.55,35.37,,0.22,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Yiftahel,,,-3300,32.75,35.23,,0.33,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell al-Raqa'i,,,-2750,36.44,40.79,,0.23,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell Asmar,,,-2350,33.75,44.75,,0.46,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell Taya,,,-2350,36.18,42.67,,0.17,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell Halawa,,,-2250,36.03,38.17,,0.18,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell Selenkahiye,,,-2250,36.05,38.13,,0.31,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell Asmar,,,-2200,33.75,44.75,,0.37,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Marki Alonia,,,-2125,35.01,33.32,,0.22,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Be'er Resisim,,,-2100,30.9,34.62,,0.37,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Marki Alonia,,,-2050,35.01,33.32,,0.22,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Marki Alonia,,,-2025,35.01,33.32,,0.26,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Marki Alonia,,,-1925,35.01,33.32,,0.34,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Marki Alonia,,,-1900,35.01,33.32,,0.31,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Kultepe-Kanesh,,,-1863.5,38.85,35.64,,0.64,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Ur,,,-1791.5,30.96,46.1,,0.61,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Haradum,,,-1648,34.33,42.14,,0.37,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Nuzi,,,-1450,35.37,44.25,,0.67,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Ugarit,,,-1205,35.6,35.78,,0.61,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Tell Sabi Abyad,,,-1189,36.53,38.97,,0.38,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Kerkenes Dag,,,-1178,39.75,35.08,,0.48,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
,Khirbet al-Lahun,,,-1150,31.48,35.8,,0.29,https://www.cambridge.org/core/journals/cambridge-archaeological-journal/article/abs/wealth-inequality-in-the-ancient-near-east-a-preliminary-assessment-using-gini-coefficients-and-household-size/26E4D7CF79B5CEAEE7CDE5ED9C75E8ED
